region,category,parameter,mode,powertrain,year,unit,value
China,Historical,EV stock,Cars,PHEV,2011,stock,660
China,Historical,EV stock,Cars,PHEV,2012,stock,920
China,Historical,EV stock,Cars,BEV,2012,stock,16000
China,Historical,EV stock,Cars,BEV,2013,stock,31000
China,Historical,EV stock,Cars,PHEV,2013,stock,1600
China,Historical,EV stock,Cars,PHEV,2014,stock,26000
China,Historical,EV stock,Cars,BEV,2014,stock,59000
China,Historical,EV stock,Cars,BEV,2015,stock,210000
China,Historical,EV stock,Cars,PHEV,2015,stock,87000
China,Historical,EV stock,Cars,PHEV,2016,stock,170000
China,Historical,EV stock,Cars,BEV,2016,stock,460000
China,Historical,EV stock,Cars,BEV,2017,stock,930000
China,Historical,EV stock,Cars,PHEV,2017,stock,280000
China,Historical,EV stock,Cars,PHEV,2018,stock,540000
China,Historical,EV stock,Cars,BEV,2018,stock,1700000
China,Historical,EV stock,Cars,BEV,2019,stock,2600000
China,Historical,EV stock,Cars,PHEV,2019,stock,770000
China,Historical,EV stock,Cars,PHEV,2020,stock,1000000
China,Historical,EV stock,Cars,BEV,2020,stock,3500000
China,Historical,EV stock,Cars,BEV,2021,stock,6200000
China,Historical,EV stock,Cars,PHEV,2021,stock,1600000
Denmark,Historical,EV stock,Cars,PHEV,2010,stock,20
Denmark,Historical,EV stock,Cars,BEV,2010,stock,59
Denmark,Historical,EV stock,Cars,BEV,2011,stock,480
Denmark,Historical,EV stock,Cars,PHEV,2011,stock,20
Denmark,Historical,EV stock,Cars,PHEV,2012,stock,14
Denmark,Historical,EV stock,Cars,BEV,2012,stock,1200
Denmark,Historical,EV stock,Cars,BEV,2013,stock,1500
Denmark,Historical,EV stock,Cars,PHEV,2013,stock,14
Denmark,Historical,EV stock,Cars,PHEV,2014,stock,100
Denmark,Historical,EV stock,Cars,BEV,2014,stock,2900
Denmark,Historical,EV stock,Cars,BEV,2015,stock,7900
Denmark,Historical,EV stock,Cars,PHEV,2015,stock,570
Denmark,Historical,EV stock,Cars,PHEV,2016,stock,1100
Denmark,Historical,EV stock,Cars,BEV,2016,stock,8700
Denmark,Historical,EV stock,Cars,BEV,2017,stock,8800
Denmark,Historical,EV stock,Cars,PHEV,2017,stock,1800
Denmark,Historical,EV stock,Cars,PHEV,2018,stock,5200
Denmark,Historical,EV stock,Cars,BEV,2018,stock,10000
Denmark,Historical,EV stock,Cars,BEV,2019,stock,16000
Denmark,Historical,EV stock,Cars,PHEV,2019,stock,9900
Denmark,Historical,EV stock,Cars,PHEV,2020,stock,30000
